,2018,2019,2020,2021
총발전량(GWh),"594,609","589,200","579,999","611,015"
신·재생에너지?발전량(GWh),"53,688","52,341","43,124","50,657"
신·재생에너지?발전비율(%),9.03,8.88,7.44,8.29
,,,,
,,,,
,,,,
,,,,
,,,,
