지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
146,2020-01,3.5,8,-.1,16.4,-6.4,20200107,20200101,1015.7,1023.4,1035.3,1001.7,20200101,20200107,5.6,17.2,2.3,20200107,20200101,-2,69,24,20200121,76.8,50.2,,,20200107,,,48.5,2.4,33.9,1.7,20200124,20200124,1.5,9.1,16,230,250,20200108,20200107,6.4,4.4,122.2,39.27,242.36,,,,,,-6.6,-14.4,20200121,3.8,,,,,,,,,
146,2020-02,4.2,9.4,-.3,18.7,-9.2,20200215,20200206,1017.3,1025,1036.4,1011.3,20200206,20200225,5.7,12.8,1.3,20200212,20200206,-2,67,21,20200211,65.9,32.4,,,20200225,,,66.6,3.5,46.5,2.5,20200224,20200224,1.7,7.1,14.6,270,270,20200216,20200216,5,3.4,185.3,58.66,349.97,10.4,7.5,11.9,20200217,20200217,-6.5,-16.3,20200206,5.4,,,,,,,,,
146,2020-03,8.4,14.8,3,23.7,-3,20200321,20200306,1010.8,1018.3,1028.4,1005,20200305,20200319,6.5,16.3,2.2,20200327,20200313,0,59,13,20200313,25.4,13.7,,,20200327,,,126.1,6.8,88.5,4.8,20200318,20200318,2,9.6,15.1,230,270,20200319,20200315,4,2.3,246,66.16,547.11,,,,,,-4.5,-12.5,20200306,10.1,,,,,,,,,
146,2020-04,10.9,17.7,5.2,27.1,.3,20200430,20200405,1010.6,1018.1,1026.7,1007.6,20200410,20200419,7,16.1,2.8,20200430,20200405,1.1,55,13,20200414,23,15.5,3.9,1.4,20200419,20200419,20200412,173.1,9,120.9,6.3,20200424,20200424,2.2,9.7,16.9,230,230,20200425,20200425,3.2,1.9,281.6,71.49,680.76,,,,,,-1.7,-8.3,20200405,14.3,,,,,,,,,
146,2020-05,18.6,24.2,13.7,29.2,9.2,20200506,20200513,1003.2,1010.4,1019.4,993,20200513,20200518,14.4,20.9,5.3,20200517,20200508,12,70,17,20200507,79,21.8,7.1,3.1,20200503,20200503,20200503,163.9,10,114.9,7,20200507,20200507,1.7,7.2,15.2,250,160,20200519,20200509,6,3.8,213.9,49.03,619.71,,,,,,11.2,5,20200508,22,,,,,,,,,
146,2020-06,23.4,28.7,19.5,35.1,13.5,20200609,20200602,999.3,1006.3,1016.3,985.4,20200609,20200630,21,28.4,8.5,20200613,20200602,18.1,74,26,20200602,187.5,90.6,19.6,7,20200614,20200614,20200614,148.2,8.9,103.6,6.2,20200609,20200609,1.5,6.6,11,250,250,20200630,20200630,6.8,4.3,177.6,40.65,533.34,,,,,,17.4,10.6,20200602,27,,,,,,,,,
146,2020-07,23.5,27.3,20.8,31.7,17.7,20200709,20200701,999.3,1006.3,1015.8,994.8,20200731,20200724,24.1,31.7,17.3,20200731,20200703,20.4,84,49,20200702,644.7,114.6,61.8,15.8,20200730,20200730,20200731,101.3,5.8,70.9,4.1,20200716,20200716,1.3,7,10.6,230,230,20200720,20200720,8.6,6.2,83.1,18.72,375.61,,,,,,20.4,16.2,20200702,25.5,,,,,,,,,
146,2020-08,27.7,32,24.6,34.6,22.7,20200825,20200807,1001.8,1008.7,1015,994.7,20200821,20200826,28.9,33.6,24.3,20200812,20200823,23.4,79,45,20200820,471.5,192.8,31,8,20200808,20200807,20200807,136,6.8,95.5,4.8,20200819,20200819,1.5,6.9,12.4,230,230,20200806,20200806,6.5,4.5,173.7,41.56,466.92,,,,,,23.5,21.6,20200819,29.4,,,,,,,,,
146,2020-09,21.3,26.5,17.6,31.8,13.1,20200901,20200929,1004.5,1011.6,1019.4,983.2,20200921,20200903,19.2,30.7,10.5,20200901,20200921,16.5,76,31,20200904,135.2,49.9,13.6,5.7,20200903,20200903,20200903,112.9,5.2,79.2,3.7,20200904,20200904,1.7,9.3,16.7,250,290,20200907,20200903,6.1,3.6,170.7,45.87,419.43,,,,,,14.9,8.1,20200921,23.9,,,,,,,,,
146,2020-10,14.9,20.9,9.8,26.1,4.7,20201001,20201029,1013.2,1020.5,1028,1010.7,20201020,20201004,11,20.2,4.2,20201004,20201029,7.8,65,20,20201029,4.2,1.9,1.3,.3,20201003,20201003,20201021,111.8,5.7,78,4,20201008,20201008,1.3,5.9,10.9,270,270,20201023,20201023,4.3,2,226.8,64.93,422.25,,,,,,4,-2.3,20201029,19.1,,,,,,,,,
