,지역,누적발전량
0,서울,1.2963415260722786e+23
1,부산,1.3174815767522745e+23
2,대구,9.165012150316987e+22
3,인천,1.0902513396418805e+23
4,광주,1.6785622497029092e+23
5,대전,5.254362825905931e+20
6,울산,5.800673414123674e+21
7,세종,5.458362394853669e+19
8,경기,5.9614188126314245e+25
9,강원,6.421819825921408e+25
10,충북,4.9263372475411095e+25
11,충남,1.1129401637390248e+27
12,전북,1.5605902234336325e+27
13,전남,1.9851622628123397e+27
14,경북,1.1316781601659231e+27
15,경남,6.852479820091457e+25
16,제주,2.0648033454148963e+23
